first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook
Jefferson,Van Drew,V000133,rep,Republican,NJ,2025-01-03,2027-01-03,,UCc5AGO_bQLeiv313Bbr35fg,Congressman_JVD,1.47E+18,jeffvandrew,,CongressmanJVD
David,Valadao,V000129,rep,Republican,CA,2025-01-03,2027-01-03,,,RepDavidValadao,1128514404,,,CongressmanDavidValadao
Aaron,Bean,B001314,rep,Republican,FL,2025-01-03,2027-01-03,,,RepAaronBean,1.60E+18,RepAaronBean,,100089355874563
Nicole (Nikki),Budzinski,B001315,rep,Democrat,IL,2025-01-03,2027-01-03,,UCp0Ykb-qUGx3ekTH9MIEK-w,RepNikkiB,1.60E+18,repnikki,,RepNikkiBudzinski
Eric,Burlison,B001316,rep,Republican,MO,2025-01-03,2027-01-03,,UCuJFygzYhGiXMZHjhTQy20w,RepEricBurlison,1.61E+18,RepEricBurlison,,100089208900263
Becca,Balint,B001318,rep,Democrat,VT,2025-01-03,2027-01-03,,UCMC34yudOdRW3VNzocAlhtw,RepBeccaB,1.61E+18,repbeccab,,repbeccab
Mike,Collins,C001129,rep,Republican,GA,2025-01-03,2027-01-03,,,RepMikeCollins,1.60E+18,repmikecollins,,RepMikeCollinsGA
Jasmine,Crockett,C001130,rep,Democrat,TX,2025-01-03,2027-01-03,,,RepJasmine,1.61E+18,RepJasmine,,RepJasmine
Gregorio,Casar,C001131,rep,Democrat,TX,2025-01-03,2027-01-03,,,RepCasar,1.50E+18,RepCasar,,RepCasar
Eli,Crane,C001132,rep,Republican,AZ,2025-01-03,2027-01-03,@rep.elicrane,UCykNfz2jRqmkQjPqLZMUkyw,RepEliCrane,1.61E+18,,,100088851021670
Juan,Ciscomani,C001133,rep,Republican,AZ,2025-01-03,2027-01-03,,UCD329AYGX7YnMMSUaTKWHwA,RepCiscomani,1.60E+18,repjuanciscomani,,100089186535085
Chris,Deluzio,D000530,rep,Democrat,PA,2025-01-03,2027-01-03,,,RepDeluzio,1.61E+18,RepDeluzio,,RepChrisDeluzio
Mike,Ezell,E000235,rep,Republican,MS,2025-01-03,2027-01-03,,UCseRXy2_n4j97lndfkQ_hAw,RepEzell,1.60E+18,repmikeezell,,repezell
Charles (Chuck),Edwards,E000246,rep,Republican,NC,2025-01-03,2027-01-03,,,RepEdwards,1.60E+18,repchuckedwards,,RepChuckEdwards
Maxwell,Frost,F000476,rep,Democrat,FL,2025-01-03,2027-01-03,,,RepMaxwellFrost,1.61E+18,RepMaxwellFrost,,RepMaxwellFrost
Valerie,Foushee,F000477,rep,Democrat,NC,2025-01-03,2027-01-03,@RepValerieFoushee,UCWm1TIf2sX0QHrxlERoh6pw,ValerieFoushee,1.61E+18,repvaleriefoushee,,RepValerieFoushee
Russell,Fry,F000478,rep,Republican,SC,2025-01-03,2027-01-03,@reprussellfry,UCGqhocHaJykHufIXBg0sl7g,RepRussellFry,1.60E+18,reprussellfry,,reprussellfry
Robert,Garcia,G000598,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepRobertGarcia,1.60E+18,RepRobertGarcia,,reprobertgarcia
Dan,Goldman,G000599,rep,Democrat,NY,2025-01-03,2027-01-03,,,RepDanGoldman,1.61E+18,repdangoldman,,RepDanGoldman
Marie,Gluesenkamp Perez,G000600,rep,Democrat,WA,2025-01-03,2027-01-03,@repmgp,UCo4paf7SbVdHOi67ayp1DDg,RepMGP,1.60E+18,repmgp,,RepMGP
Erin,Houchin,H001093,rep,Republican,IN,2025-01-03,2027-01-03,,,RepHouchin,1.60E+18,rephouchin,,RepHouchin
Valerie,Hoyle,H001094,rep,Democrat,OR,2025-01-03,2027-01-03,,,repvalhoyle,1.61E+18,RepHoyle,,repvalhoyle
Wesley,Hunt,H001095,rep,Republican,TX,2025-01-03,2027-01-03,,,RepWesleyHunt,1.60E+18,repwph,,RepWesleyHunt
Glenn,Ivey,I000058,rep,Democrat,MD,2025-01-03,2027-01-03,,,RepGlennIvey,1.61E+18,repglennivey,,RepGlennIvey
Thomas,Kean,K000398,rep,Republican,NJ,2025-01-03,2027-01-03,,,CongressmanKean,1.61E+18,congressmankean,,CongressmanKean
Kevin,Kiley,K000401,rep,Republican,CA,2025-01-03,2027-01-03,@repkevinkiley,UCRYWouIUelEtHYjASOHW4jA,RepKiley,1.61E+18,,,100089382125341
Anna,Luna,L000596,rep,Republican,FL,2025-01-03,2027-01-03,@RepLuna,UCU47SDE9H1U5CEqOkviBS5A,RepLuna,1.61E+18,repluna,,
Laurel,Lee,L000597,rep,Republican,FL,2025-01-03,2027-01-03,,,RepLaurelLee,1.61E+18,replaurellee,,RepLaurelLee
Nicolas,LaLota,L000598,rep,Republican,NY,2025-01-03,2027-01-03,,,RepLaLota,1.59E+18,replalota,,replalota
Michael,Lawler,L000599,rep,Republican,NY,2025-01-03,2027-01-03,@RepMikeLawler,UCcN-bNymt81c6GL1eElRyVg,RepMikeLawler,1.59E+18,RepMikeLawler,,RepMikeLawler
Morgan,Luttrell,L000603,rep,Republican,TX,2025-01-03,2027-01-03,,,RepLuttrell,1.60E+18,repluttrelltx,,100089328790942
Jared,Moskowitz,M001217,rep,Democrat,FL,2025-01-03,2027-01-03,@RepMoskowitz,UCXXNWp6uCWiBxlJxkU_zJeQ,RepMoskowitz,1.61E+18,repmoskowitz,,RepMoskowitz
Rich,McCormick,M001218,rep,Republican,GA,2025-01-03,2027-01-03,,,RepMcCormick,1.61E+18,reprichmccormick,,100089135203690
Morgan,McGarvey,M001220,rep,Democrat,KY,2025-01-03,2027-01-03,,,RepMcGarvey,1.61E+18,repmcgarvey,,RepMcGarvey
Kevin,Mullin,M001225,rep,Democrat,CA,2025-01-03,2027-01-03,,UCAenuXjUZagZyD4HQL7_2ZA,RepKevinMullin,1.61E+18,repkevinmullin,,CongressmanKevinMullin
Robert,Menendez,M001226,rep,Democrat,NJ,2025-01-03,2027-01-03,,,RepMenendez,1.60E+18,repmenendez,,repmenendez
Zachary (Zach),Nunn,N000193,rep,Republican,IA,2025-01-03,2027-01-03,,UCHcM0qd2GQ2CbOHSGZ06rrA,ZachNunn,1.61E+18,repzachnunn,,RepZachNunn
Patrick,Ryan,R000579,rep,Democrat,NY,2025-01-03,2027-01-03,,,RepPatRyanNY,1.57E+18,,,
Emilia,Sykes,S001223,rep,Democrat,OH,2025-01-03,2027-01-03,@repemiliasykes,UChlENkILRFCKhRn8Xx2kY1Q,RepEmiliaSykes,1.61E+18,RepEmiliaSykes,,repemiliasykes
Eric,Sorensen,S001225,rep,Democrat,IL,2025-01-03,2027-01-03,,,RepEricSorensen,1.61E+18,repericsorensen,,
Jill,Tokuda,T000487,rep,Democrat,HI,2025-01-03,2027-01-03,,UCBXwZrEZWQiSXebInVuYuvw,RepJillTokuda,1.61E+18,repjilltokuda,,RepJillTokuda
Shri,Thanedar,T000488,rep,Democrat,MI,2025-01-03,2027-01-03,,,RepShriThanedar,1.61E+18,RepShriThanedar,,CongressmanShriThanedar
Derrick,Van Orden,V000135,rep,Republican,WI,2025-01-03,2027-01-03,,,RepVanOrden,1.60E+18,RepVanOrden,,RepVanOrden
Rudy,Yakym,Y000067,rep,Republican,IN,2025-01-03,2027-01-03,,,RepRudyYakym,1.61E+18,,,RepRudyYakym
Mike,Flood,F000474,rep,Republican,NE,2025-01-03,2027-01-03,,,USRepMikeFlood,,,,Congressman-Mike-Flood-101986952582058
Brad,Finstad,F000475,rep,Republican,MN,2025-01-03,2027-01-03,@repfinstad,UC8eb5FpfNeQ1T4GvFNtlpqQ,RepFinstad,,repfinstad,,RepFinstad
Ryan,Zinke,Z000018,rep,Republican,MT,2025-01-03,2027-01-03,,,RepRyanZinke,,RepRyanZinke,,RepRyanZinke
Katie,Britt,B001319,sen,Republican,AL,2023-01-03,2029-01-03,,UCbrYQF8n5ftTPqn8ZNo5vYw,SenKatieBritt,,senkatiebritt,,senkatiebritt
Eric,Schmitt,S001227,sen,Republican,MO,2023-01-03,2029-01-03,@senericschmitt,UCgyC2tN1cEYjpJgqkULHdEA,SenEricSchmitt,,senericschmitt,,116059838031776
Dale,Strong,S001220,rep,Republican,AL,2025-01-03,2027-01-03,,,RepDaleStrong,,repdalestrong,,repdalestrong
Sydney,Kamlager-Dove,K000400,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepKamlagerDove,,rep_kamlagerdove,,RepKamlagerDove
Brittany,Pettersen,P000620,rep,Democrat,CO,2025-01-03,2027-01-03,,,reppettersen,,reppettersen,,repbrittanypettersen
Cory,Mills,M001216,rep,Republican,FL,2025-01-03,2027-01-03,,,RepMillsPress,,repcorymills,,100089218152197
James (Jim),Moylan,M001219,rep,Republican,GU,2025-01-03,2027-01-03,,,JMoylanforGuam,,repjamesmoylan,,100089324793869
Delia,Ramirez,R000617,rep,Democrat,IL,2025-01-03,2027-01-03,,,repdeliaramirez,,repdeliaramirez,,Repdeliaramirez
Hillary,Scholten,S001221,rep,Democrat,MI,2025-01-03,2027-01-03,,,RepScholten,,RepScholten,,100089476625799
John,James,J000307,rep,Republican,MI,2025-01-03,2027-01-03,@RepJohnJames,UCjsRaXe7cnwNoy15ARClqGw,RepJames,,RepJohnJames,,RepJohnJames
Mark,Alford,A000379,rep,Republican,MO,2025-01-03,2027-01-03,@RepAlford,UC0IVg3K5cxZw724kyiTrn5w,RepMarkAlford,,RepMarkAlford,,100089595940547
Donald,Davis,D000230,rep,Democrat,NC,2025-01-03,2027-01-03,,,RepDonDavis,,RepDonDavis,,RepDonDavis
Gabriel (Gabe),Vasquez,V000136,rep,Democrat,NM,2025-01-03,2027-01-03,,,RepGabeVasquez,,RepGabeVasquez,,100089328694464
Nicholas,Langworthy,L000600,rep,Republican,NY,2025-01-03,2027-01-03,,,RepLangworthy,,replangworthy,,RepLangworthy
Greg,Landsman,L000601,rep,Democrat,OH,2025-01-03,2027-01-03,,,repgreglandsman,,repgreglandsman,,RepGregLandsman
Max,Miller,M001222,rep,Republican,OH,2025-01-03,2027-01-03,@RepMaxMiller,UC7XmOqXKLsDirQGS5VDM9OA,repmaxmiller,,repmaxmiller,,CongressmanMaxMiller
Josh,Brecheen,B001317,rep,Republican,OK,2025-01-03,2027-01-03,,UCSX3nV53o-1-e0nFA6pPs2w,repbrecheen,,repbrecheen,,100089040632497
Andrea,Salinas,S001226,rep,Democrat,OR,2025-01-03,2027-01-03,,,repsalinas,,repsalinas,,RepSalinas
Summer,Lee,L000602,rep,Democrat,PA,2025-01-03,2027-01-03,,UCqQJ44qlkVxWV5N12YeacyA,RepSummerLee,,repsummerlee,,RepSummerLee
Seth,Magaziner,M001223,rep,Democrat,RI,2025-01-03,2027-01-03,,,Rep_Magaziner,,,,repsethmagaziner
Andrew,Ogles,O000175,rep,Republican,TN,2025-01-03,2027-01-03,,,repogles,,repandyogles,,RepAndyOgles
Nathaniel,Moran,M001224,rep,Republican,TX,2025-01-03,2027-01-03,@RepNateMoran,UCXgzjVz7TTspLm0OJ1ASyaA,RepNateMoran,,RepNateMoran,,RepNateMoran
Keith,Self,S001224,rep,Republican,TX,2025-01-03,2027-01-03,,,repkeithself,,repkeithself,,repkeithself
Mónica,De La Cruz,D000594,rep,Republican,TX,2025-01-03,2027-01-03,@RepMonicaDLC,UCnrrkEmvCSPttUPo_44VAHg,RepMonicaDLC,,RepMonicaDLC,,RepMonicaDLC
Jennifer,Kiggans,K000399,rep,Republican,VA,2025-01-03,2027-01-03,@repjenkiggans,UCL7_lHDJZMvztRlQb_RLFfw,RepJenKiggans,,repjenkiggans,,repjenkiggans
Harriet,Hageman,H001096,rep,Republican,WY,2025-01-03,2027-01-03,@rephageman,UCYafjxwsbUrWxavqKPY4B-A,RepHageman,,,,
Pete,Ricketts,R000618,sen,Republican,NE,2024-11-05,2027-01-03,@SenatorRicketts,UCw6WLKiRIEzBnmeECqAyHsg,SenatorRicketts,,SenatorRicketts,,SenatorRicketts
Jennifer,McClellan,M001227,rep,Democrat,VA,2025-01-03,2027-01-03,,,RepMcClellan,,repmcclellan,,
Gabe,Amo,A000380,rep,Democrat,RI,2025-01-03,2027-01-03,,,RepGabeAmo,,repgabeamo,,61553581414066
Celeste,Maloy,M001228,rep,Republican,UT,2025-01-03,2027-01-03,@RepCelesteMaloy,UCqHNoy1lbxNZhbMQUuxkb1Q,RepMaloyUtah,,RepCelesteMaloy,,61555755717517
Thomas,Suozzi,S001201,rep,Democrat,NY,2025-01-03,2027-01-03,,,reptomsuozzi,,,,RepTomSuozzi
Timothy,Kennedy,K000402,rep,Democrat,NY,2025-01-03,2027-01-03,@reptimkennedy,UCDB-BzTPkdKjZvWLdRa0lUA,reptimkennedy,,reptimkennedy,,reptimkennedy
Vince,Fong,F000480,rep,Republican,CA,2025-01-03,2027-01-03,,,RepVinceFong,,repvincefong,,
LaMonica,McIver,M001229,rep,Democrat,NJ,2025-01-03,2027-01-03,,,RepLaMonica,,replamonica,,RepLaMonica
Tony,Wied,W000829,rep,Republican,WI,2025-01-03,2027-01-03,,,RepTonyWied,,reptonywied,,61568624194199
Cleo,Fields,F000110,rep,Democrat,LA,2025-01-03,2027-01-03,,,repfields,,repcleofields_,,Congressman-Cleo-Fields
Marlin,Stutzman,S001188,rep,Republican,IN,2025-01-03,2027-01-03,,,RepStutzman,,repstutzman,,repstutzman
Bernie,Moreno,M001242,sen,Republican,OH,2025-01-03,2031-01-03,,,berniemoreno,,Berniemorenoforohio,,
Nicholas,Begich,B001323,rep,Republican,AK,2025-01-03,2027-01-03,,,repnickbegich,,RepNickBegich,,RepNickBegich
Shomari,Figures,F000481,rep,Democrat,AL,2025-01-03,2027-01-03,,,repscfigures,,repscfigures,,congressman.shomari.figures
Yassamin,Ansari,A000381,rep,Democrat,AZ,2025-01-03,2027-01-03,,,RepYassAnsari,,RepYassAnsari,,RepYassAnsari
Lateefah,Simon,S001231,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepLSimon,,RepLSimon,,RepLSimon
Adam,Gray,G000605,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepAdamGrayCA,,repadamgrayca,,repadamgrayca
Sam,Liccardo,L000607,rep,Democrat,CA,2025-01-03,2027-01-03,,,repliccardo,,repliccardo,,
George,Whitesides,W000830,rep,Democrat,CA,2025-01-03,2027-01-03,,,Rep_Whitesides,,repwhitesides,,repwhitesides
Luz,Rivas,R000620,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepLuzRivas,,RepLuzRivas,,congresswomanluzrivas
Laura,Friedman,F000483,rep,Democrat,CA,2025-01-03,2027-01-03,,,RepFriedmanCA,,RepLauraFriedman,,RepLauraFriedman
Jeff,Hurd,H001100,rep,Republican,CO,2025-01-03,2027-01-03,,UCETJIbCBqsc2x9X1eT7g5bw,RepJeffHurd,,repjeffhurd,,61571570223582
Jeff,Crank,C001137,rep,Republican,CO,2025-01-03,2027-01-03,,,RepJeffCrank,,repjeffcrank,,RepJeffCrank
Gabe,Evans,E000300,rep,Republican,CO,2025-01-03,2027-01-03,,,repgabeevans,,RepGabeEvans,,RepGabeEvans
Mike,Haridopolos,H001099,rep,Republican,FL,2025-01-03,2027-01-03,,,repharidopolos,,,,
Brian,Jack,J000311,rep,Republican,GA,2025-01-03,2027-01-03,,,RepBrianJack,,repbrianjack,,RepBrianJack
Jefferson,Shreve,S001229,rep,Republican,IN,2025-01-03,2027-01-03,,,repshreve,,repshreve,,RepJeffersonShreve
Derek,Schmidt,S001228,rep,Republican,KS,2025-01-03,2027-01-03,,,repderekschmidt,,repderekschmidt,,repderekschmidt
Johnny,Olszewski,O000176,rep,Democrat,MD,2025-01-03,2027-01-03,,,RepJohnnyO,,repjohnnyo,,
Sarah,Elfreth,E000301,rep,Democrat,MD,2025-01-03,2027-01-03,,,repsarahelfreth,,RepSarahElfreth,,RepSarahElfreth
April,McClain Delaney,M001232,rep,Democrat,MD,2025-01-03,2027-01-03,,,RepAprilDelaney,,repaprildelaney,,RepAprilDelaney
Tom,Barrett,B001321,rep,Republican,MI,2025-01-03,2027-01-03,,,reptombarrett,,,,RepTomBarrett
Kristen,McDonald Rivet,M001237,rep,Democrat,MI,2025-01-03,2027-01-03,,,repkmr,,repmcdonaldrivet,,repmcdonaldrivet
Kelly,Morrison,M001234,rep,Democrat,MN,2025-01-03,2027-01-03,,,kellymorrisonmn,,kellymorrisonmn,,repkellymorrison
Wesley,Bell,B001324,rep,Democrat,MO,2025-01-03,2027-01-03,,,RepWesleyBellMO,,,,61571538239904
Robert,Onder,O000177,rep,Republican,MO,2025-01-03,2027-01-03,,,RepBobOnder,,repbobonder,,RepBobOnder
Kimberlyn,King-Hinds,K000404,rep,Republican,MP,2025-01-03,2027-01-03,,,RepKimKingHinds,,RepKimKingHinds,,61571529818077
Troy,Downing,D000634,rep,Republican,MT,2025-01-03,2027-01-03,,,reptroydowning,,reptroydowning,,reptroydowning
Addison,McDowell,M001240,rep,Republican,NC,2025-01-03,2027-01-03,,,RepMcDowell,,repmcdowell,,RepMcDowell
Mark,Harris,H001102,rep,Republican,NC,2025-01-03,2027-01-03,,,RepMarkHarrisNC,,repmarkharris,,RepMarkHarris
Pat,Harrigan,H001101,rep,Republican,NC,2025-01-03,2027-01-03,,,RepPatHarrigan,,RepPatHarrigan,,RepPatHarrigan
Brad,Knott,K000405,rep,Republican,NC,2025-01-03,2027-01-03,,,RepKnott,,repknott,,61571474013264
Tim,Moore,M001236,rep,Republican,NC,2025-01-03,2027-01-03,,,RepTimMooreNC,,reptimmoore,,CongressmanTimMoore
Julie,Fedorchak,F000482,rep,Republican,ND,2025-01-03,2027-01-03,,,RepFedorchak,,RepJulieFedorchak,,RepJulieFedorchak
Maggie,Goodlander,G000604,rep,Democrat,NH,2025-01-03,2027-01-03,,,RepGoodlander,,repgoodlander,,61571606604866
Herbert,Conaway,C001136,rep,Democrat,NJ,2025-01-03,2027-01-03,,,RepHerbConaway,,,,
Nellie,Pou,P000621,rep,Democrat,NJ,2025-01-03,2027-01-03,,,caohouse,,housecreativeservices,,CAOHouseofReps
Laura,Gillen,G000602,rep,Democrat,NY,2025-01-03,2027-01-03,,,RepLauraGillen,,replauragillen,,replauragillen
George,Latimer,L000606,rep,Democrat,NY,2025-01-03,2027-01-03,,,RepGLatimer,,repglatimer,,61571201977917
John,Mannion,M001231,rep,Democrat,NY,2025-01-03,2027-01-03,,,JohnMannionNY22,,congressmannion,,CongressmanJohnMannion
David,Taylor,T000490,rep,Republican,OH,2025-01-03,2027-01-03,,,RepDaveTaylor,,repdavetaylor,,61571224837800
Maxine,Dexter,D000635,rep,Democrat,OR,2025-01-03,2027-01-03,,,RepDexterOR,,repdexteror,,RepDexterOR
Janelle,Bynum,B001326,rep,Democrat,OR,2025-01-03,2027-01-03,,,RepBynum,,repbynum,,repbynum
Ryan,Mackenzie,M001230,rep,Republican,PA,2025-01-03,2027-01-03,,,RepMackenzie,,RepMackenzie,,repmackenzie
Robert,Bresnahan,B001327,rep,Republican,PA,2025-01-03,2027-01-03,,,RepBresnahan,,RepBresnahan,,RepBresnahan
Pablo José,Hernández Rivera,H001103,rep,Democrat,PR,2025-01-03,2027-01-03,,,reppablojose,,reppablojose,,61569891687422
Sheri,Biggs,B001325,rep,Republican,SC,2025-01-03,2027-01-03,,,repsheribiggs,,RepSheriBiggs,,RepSheriBiggs
Craig,Goldman,G000601,rep,Republican,TX,2025-01-03,2027-01-03,,,RepCraigGoldman,,repcraiggoldman,,61571449239416
Brandon,Gill,G000603,rep,Republican,TX,2025-01-03,2027-01-03,,,repbrandongill,,repbrandongill,,RepBrandonGill
Julie,Johnson,J000310,rep,Democrat,TX,2025-01-03,2027-01-03,,,RepJulieJohnson,,repjuliejohnson,,61569064997067
Mike,Kennedy,K000403,rep,Republican,UT,2025-01-03,2027-01-03,,,repmikekennedy,,repmikekennedy,,RepMikeKennedy
John,McGuire,M001239,rep,Republican,VA,2025-01-03,2027-01-03,,,RepJohnMcGuire,,repjohnmcguire,,RepJohnMcGuire
Eugene,Vindman,V000138,rep,Democrat,VA,2025-01-03,2027-01-03,,,RepVindman,,repvindman,,CongressmanEugeneVindman
Suhas,Subramanyam,S001230,rep,Democrat,VA,2025-01-03,2027-01-03,,,RepSuhas,,repsuhas,,RepSuhasSubramanyam
Michael,Baumgartner,B001322,rep,Republican,WA,2025-01-03,2027-01-03,,,repbaumgartner,,repbaumgartner,,RepBaumgartner
Riley,Moore,M001235,rep,Republican,WV,2025-01-03,2027-01-03,,,RepRileyMoore,,reprileymoore,,
Adam,Schiff,S001150,sen,Democrat,CA,2025-01-03,2031-01-03,adamschiff,UCadiUi-KZoFk1K5ZDsluLcA,,,SenAdamSchiff,,SenAdamSchiff
Andy,Kim,K000394,sen,Democrat,NJ,2025-01-03,2031-01-03,,,,,SenatorAndyKim,,SenatorAndyKim
Sheila,Cherfilus-McCormick,C001127,rep,Democrat,FL,2025-01-03,2027-01-03,,,,,,,congresswomanSCM
John,Fetterman,F000479,sen,Democrat,PA,2023-01-03,2029-01-03,,,,,senfettermanpa,,SenFettermanPA
Jonathan,Jackson,J000309,rep,Democrat,IL,2025-01-03,2027-01-03,,,,,repjackson,,repjackson
Gilbert,Cisneros,C001123,rep,Democrat,CA,2025-01-03,2027-01-03,,,,,repgilcisneros,,RepGilCisneros
Angela,Alsobrooks,A000382,sen,Democrat,MD,2025-01-03,2031-01-03,,,,,sen_alsobrooks,,SenatorAlsobrooks
Dave,McCormick,M001243,sen,Republican,PA,2025-01-03,2031-01-03,@SenMcCormickPA,UCgQfTNRrFKHVES1JYA7mz1w,,,senmccormickpa,,SenMcCormickPA
Sarah,McBride,M001238,rep,Democrat,DE,2025-01-03,2027-01-03,,,,,congresswomansarahmcbride,,CongresswomanSarahMcBride
Mark,Messmer,M001233,rep,Republican,IN,2025-01-03,2027-01-03,,,,,HouseRepublicans,,CongressmanMessmer
Josh,Riley,R000622,rep,Democrat,NY,2025-01-03,2027-01-03,,,,,RepRileyNY,,RepRileyNY
Jim,Justice,J000312,sen,Republican,WV,2025-01-14,2031-01-03,,,,,senjimjustice,,100044187231175
Lance,Gooden,G000589,rep,Republican,TX,2025-01-03,2027-01-03,,UCaEs0pYlL_1cLlPBHfl0RIg,,,,,